ZipCode,TotalOffenseCount,TotalHomesSold,AverageListPrice,num of school,avg score,AvgOverallRating
77003,2406,11,481480.91,44,96.5,A
77004,4853,27,475836.19,351,74.69,C
77007,4669,16,520727.44,48,91.33,A
77008,3032,40,474006.2,280,92.29,A
77009,3204,15,448053.33,180,79.08,F
77011,1488,7,427971.29,63,87.44,B
77014,192,9,312931.11,36,82.75,B
77015,1441,1,350000,11,86.27,B
77016,3599,15,292512.6,45,72.67,C
77017,2818,2,414949.5,24,85.25,B
77018,2026,46,461136.7,368,75.13,C
77019,2500,2,477500,8,93.5,A
77020,2410,30,430256.3,360,79.08,F
77021,4487,13,399907.62,117,81.78,B
77022,4232,8,433687.5,96,78.83,C
77023,2268,5,450579.8,65,80.38,B
77025,1900,6,427315,36,87.5,B
77026,3145,3,379933.33,21,82.14,B
77028,2409,5,302918,25,79.2,F
77029,921,1,319900,5,88.8,B
77033,3250,3,349326.33,21,69,F
77034,2900,10,297551,90,76.33,C
77038,330,22,291749.86,198,85.44,B
77041,900,1,499995,4,86.75,B
77042,3772,2,434000,10,80.2,B
77043,1630,39,462221.03,234,83.5,B
77044,143,117,342338.73,1755,82.13,B
77045,2237,15,432527.6,120,75.13,C
77047,1378,31,358278.94,248,73.63,C
77048,1509,14,306835.57,84,76.33,C
77049,214,36,341811.47,720,64.35,D
77051,2548,20,371362.45,140,78.86,C
77053,1330,23,371072.35,184,80.75,B
77054,3179,13,482298.46,117,9.56,F
77055,3204,41,445552.93,369,86,B
77057,4490,2,429990,12,86.5,B
77059,225,2,489500,6,87.33,B
77060,3881,1,325000,8,85.25,B
77063,4453,10,483878,70,89,F
77065,17,4,406200,16,63.25,D
77066,92,18,375650.78,108,79.17,F
77067,1637,8,290477.5,80,76.9,C
77068,4,20,345692,100,84.2,B
77069,91,22,369813.41,22,77,C
77070,1525,3,303633.33,27,80.89,B
77071,1477,2,362499.5,10,83.2,B
77072,4218,5,311200,80,59.81,F
77073,31,19,279016.68,171,67.11,D
77075,2899,32,328306.88,352,76.18,C
77076,2569,2,337200,22,84,B
77077,4305,13,460658.46,91,87.57,B
77078,1445,2,324900,12,75.83,C
77080,2780,55,455019.89,660,81.5,B
77081,3681,1,489000,16,82.25,B
77082,2910,7,390397,63,88.78,B
77083,187,14,360323.07,266,81.37,B
77084,815,64,399197.7,960,85.4,B
77087,2509,1,485000,8,76.75,C
77088,3060,24,336324.96,384,83.44,B
77089,1610,66,438028.47,858,88.15,B
77090,54,28,334620.36,336,83.42,B
77091,2846,20,418333.9,200,77.1,C
77092,5752,8,428174.88,80,71.3,C
77093,3116,2,330000,28,81.57,B
77095,7,1,385000,10,87.8,B
77096,2811,1,480000,9,85.22,B
77099,3458,3,304996.67,51,82.18,B
77304,7,5,337309.4,35,84.71,B
77318,2,1,479115,2,74,C
77336,225,18,294271.06,72,82.75,B
77338,428,62,364592.58,930,72.6,C
77339,1401,1,415000,9,84,B
77345,475,3,408300,18,88.67,B
77346,9,219,391870.63,3285,72.73,C
77365,147,66,402365.91,726,83.09,B
77373,16,147,322728.65,2646,82.11,B
77375,2,241,415093.1,3374,89.57,F
77377,3,149,433003.7,1490,92.2,A
77379,9,43,410547.26,774,78.56,C
77388,7,12,380815.83,120,79,F
77389,2,35,410739.66,315,88.67,B
77396,940,50,347622.74,450,82.33,B
77429,5,79,424555.14,1106,92.57,A
77433,4,541,431389.5,10820,90.8,A
77447,2,328,358923.98,656,78.5,C
77449,29,123,360101.83,3198,85.08,B
77450,11,1,375000,14,89.36,F
77484,4,11,381435.09,55,77.8,C
77493,1,681,396783.35,11577,64.59,D
77494,27,4,535529.25,116,94.83,A
77502,20,2,344500,26,81.69,B
77504,90,2,372450,16,88.5,B
77505,2,12,458200.17,60,89.4,F
77520,25,5,360876,70,77.57,C
77521,6,208,320643.88,2704,76.92,C
77530,8,5,327960,50,83.5,B
77532,10,113,318594.17,904,82.63,B
77536,8,5,379360,50,80.3,B
77546,774,3,451266.67,33,91.64,A
77562,26,2,375000,8,58.25,F
77571,36,95,389001.99,1140,69.83,F
77581,28,1,415000,13,89.08,F
77583,3,1,378069,7,60.71,D
77586,7,11,457388.36,66,71.5,C
77598,1120,9,505518.44,36,64.25,D
