ZipCode,TotalOffenseCount,TotalHomesSold,AverageListPrice,num of school,avg score,AvgOverallRating
77002,4674,1,380000,4,48.5,F
77003,2136,19,437026.21,76,96.5,A
77004,4280,45,436192.22,585,74.69,C
77007,4153,10,480190,30,91.33,A
77008,2792,48,468219.77,336,92.29,A
77009,2861,45,418132.47,540,79.08,F
77011,1333,16,402887.19,144,87.44,B
77016,3233,1,367800,3,72.67,C
77018,1849,90,430381.14,720,75.13,C
77019,2267,2,477500,8,93.5,A
77020,2147,44,405841.52,572,79.08,F
77021,4051,30,397324.9,270,81.78,B
77022,3849,12,444875,144,78.83,C
77023,2034,1,485000,13,80.38,B
77025,1707,5,445400,30,87.5,B
77026,2814,13,401006.15,91,82.14,B
77041,808,1,319000,4,86.75,B
77042,3410,1,449000,5,80.2,B
77043,1471,28,441195.18,196,83.5,B
77044,132,21,408210.19,315,82.13,B
77045,2024,10,392547.7,80,75.13,C
77047,1236,14,364902.07,112,73.63,C
77049,188,6,401419.17,126,64.35,D
77051,2303,9,389827.67,63,78.86,C
77053,1197,3,363108.67,24,80.75,B
77054,2904,10,462188,120,9.56,F
77055,2897,42,417432.81,504,86,B
77057,4078,1,424990,6,86.5,B
77059,196,2,465000,6,87.33,B
77063,4048,20,437319.5,160,89,F
77065,15,4,406200,16,63.25,D
77066,78,1,375990,7,79.17,F
77068,3,3,391631.67,15,84.2,B
77069,81,13,369522.69,13,77,C
77070,1389,1,375000,9,80.89,B
77071,1328,1,375000,5,83.2,B
77075,2604,2,422500,22,76.18,C
77077,3872,5,417720,35,87.57,B
77080,2508,58,419574.95,696,81.5,B
77082,2594,4,429722.25,36,88.78,B
77083,167,7,372248.57,147,81.37,B
77084,714,27,406933.81,405,85.4,B
77088,2787,1,425000,16,83.44,B
77089,1422,32,427065.56,416,88.15,B
77090,49,5,356610,65,83.42,B
77091,2566,82,387140.18,820,77.1,C
77092,5187,7,400481.43,70,71.3,C
77095,7,1,385000,10,87.8,B
77096,2552,1,480000,10,85.22,B
77318,2,1,479115,2,74,C
77338,397,11,390999.09,187,72.6,C
77345,433,2,419950,12,88.67,B
77346,9,69,412167.01,1104,72.73,C
77354,,1,396290,9,87.22,B
77365,129,32,415058.44,352,83.09,B
77373,15,9,443632.78,162,82.11,B
77375,1,73,421980.37,1314,89.57,F
77377,2,57,436971.32,570,92.2,A
77379,6,21,423601.57,399,78.56,C
77388,7,4,469975,44,79,F
77389,2,24,415891.25,216,88.67,B
77396,837,10,413298.4,110,82.33,B
77429,4,47,425900.66,658,92.57,A
77433,2,218,429708.39,5014,90.8,A
77447,2,65,405280.58,195,78.5,C
77449,27,35,392329.03,1015,85.08,B
77450,6,1,375000,14,89.36,F
77484,4,3,424305.33,18,77.8,C
77493,,222,411077.38,4662,64.59,D
77504,,1,369900,8,88.5,B
77505,,7,450223,35,89.4,F
77520,,2,369945,28,77.57,C
77521,,12,384057.67,192,76.92,C
77532,,10,396311.9,80,82.63,B
77536,,3,415666.67,33,80.3,B
77546,,2,426950,24,91.64,A
77571,,26,416698.92,312,69.83,F
77581,,1,415000,16,89.08,F
77586,,6,433835.33,36,71.5,C
77598,,1,549915,4,64.25,D
