,Crime Incidents,Average List Price
70016,1,
70062,1,
70130,1,
75050,1,
75063,1,
75098,1,
77001,1,
77002,4556,
77003,2085,407940.0
77004,4168,420306.375
77005,606,
77006,2618,
77007,4091,
77008,2756,443641.8
77009,2786,405673.725
77010,286,
77011,1294,400042.0
77012,1231,395000.0
77013,1733,
77014,161,
77015,1249,399900.0
77016,3107,387475.0
77017,2405,
77018,1793,405213.109375
77019,2243,
77020,2044,387375.84375
77021,3884,389549.9459459459
77022,3735,414708.125
77023,1958,387931.2
77024,1749,
77025,1684,390000.0
77026,2698,383966.5
77027,1921,
77028,2080,
77029,807,429900.0
77030,1177,
77031,1363,
77032,2679,
77033,2792,366630.0
77034,2487,
77035,2507,
77036,6962,
77037,1208,368900.0
77038,294,
77039,28,
77040,2406,377495.0
77041,789,
77042,3323,411333.3333333333
77043,1417,420000.0
77044,129,380471.77142857143
77045,1964,377666.6666666667
77046,110,
77047,1177,375381.5
77048,1282,
77049,174,402570.71428571426
77050,121,
77051,2226,367241.6666666667
77053,1131,386375.6666666667
77054,2834,445445.0
77055,2800,407390.0
77056,3457,
77057,3967,400633.3333333333
77058,403,
77059,189,387811.0
77060,3396,
77061,2918,
77062,463,
77063,3953,384250.0
77064,654,369000.0
77065,15,375000.0
77066,78,436017.22222222225
77067,1452,
77068,3,
77069,76,375000.0
77070,1361,364995.0
77071,1277,
77072,3747,
77073,27,
77074,2680,
77075,2519,399000.0
77076,2155,
77077,3771,433748.75
77078,1202,
77079,1789,
77080,2430,393800.71428571426
77081,3235,
77082,2487,436865.0
77083,157,388296.6666666667
77084,691,395281.1052631579
77085,1120,
77086,40,
77087,2153,
77088,2671,
77089,1360,
77090,46,372641.8
77091,2480,380726.6814159292
77092,5059,393996.6666666667
77093,2681,
77094,386,
77095,7,449000.0
77096,2495,
77098,1647,
77099,2986,
77301,5,
77303,3,
77304,7,
77318,2,
77327,1,
77336,195,
77338,387,
77339,1190,
77340,1,
77345,413,
77346,9,375900.0
77351,1,
77365,125,415000.0
77373,14,
77375,1,
77377,2,
77379,6,
77380,2,
77384,1,
77385,3,
77386,3,
77388,7,
77389,2,
77396,799,
77401,72,
77407,1,
77417,1,
77423,2,
77429,4,
77433,2,
77444,1,
77447,2,
77449,26,
77450,6,
77459,1,
77461,5,
77469,7,
77471,7,
77477,132,
77478,36,
77479,6,
77480,1,
77484,4,
77485,2,
77489,635,
77494,21,
