,District Number,Zip Codes,District,Campus Number,Campus,Region,County,School Type,Grades Served,Alternative Education Accountability,Charter,Number of Students,% Economically Disadvantaged,% EB/EL Students,Overall Rating,Overall Score,Student Achievement Rating,Student Achievement Score,School Progress Rating,School Progress Score,Academic Growth Rating,Academic Growth Score,Relative Performance Rating,Relative Performance Score,Closing the Gaps Rating,Closing the Gaps Score,Support Label,Public Education Grant,Distinction ELA/Reading,Distinction Mathematics,Distinction Science,Distinction Soc Studies,Distinction Progress,Distinction Closing the Gaps,Distinction Postsecondary Readiness,US Congress District,US Congress Election District,TX House District,TX House Election District,TX Senate District,TX Senate Election District,Campus Enrollment Type
1,1902,,CAYUGA ISD,,,REGION 07: KILGORE,ANDERSON,District,,No,No,574,40.80%,1.00%,A,94,A,95,A,93,B,84,A,93,A,93,,,,,,,,,Earned,,,,,,,
2,1903,,ELKHART ISD,,,REGION 07: KILGORE,ANDERSON,District,,No,No,"1,150",45.40%,2.80%,A,91,A,93,A,92,B,85,A,92,B,87,,,,,,,,,Not Earned,,,,,,,
3,1904,,FRANKSTON ISD,,,REGION 07: KILGORE,ANDERSON,District,,No,No,808,54.20%,4.10%,A,92,A,92,A,92,B,87,A,92,A,91,,,,,,,,,Not Earned,,,,,,,
4,1906,,NECHES ISD,,,REGION 07: KILGORE,ANDERSON,District,,No,No,342,54.10%,2.00%,A,97,A,95,A,94,A,92,A,94,A,100,,,,,,,,,Earned,,,,,,,
5,1907,,PALESTINE ISD,,,REGION 07: KILGORE,ANDERSON,District,,No,No,"3,360",81.60%,17.70%,B,89,B,88,A,92,B,87,A,92,B,83,,,,,,,,,Not Earned,,,,,,,
6,1908,,WESTWOOD ISD,,,REGION 07: KILGORE,ANDERSON,District,,No,No,"1,332",74.00%,7.10%,B,88,B,85,A,92,B,89,A,92,C,77,,,,,,,,,Not Earned,,,,,,,
7,1909,,SLOCUM ISD,,,REGION 07: KILGORE,ANDERSON,District,,No,No,361,46.80%,0.60%,B,89,A,92,A,91,B,89,A,91,B,83,,,,,,,,,Not Earned,,,,,,,
8,2901,,ANDREWS ISD,,,REGION 18: MIDLAND,ANDREWS,District,,No,No,"4,131",49.60%,14.20%,B,89,B,88,A,91,B,84,A,91,B,85,,,,,,,,,Not Earned,,,,,,,
9,3801,,PINEYWOODS COMMUNITY ACADEMY,,,REGION 07: KILGORE,ANGELINA,District,,No,Yes,995,57.80%,5.10%,A,92,A,93,A,93,A,90,A,93,B,89,,,,,,,,,Earned,,,,,,,
10,3902,,HUDSON ISD,,,REGION 07: KILGORE,ANGELINA,District,,No,No,"2,799",50.10%,6.90%,A,92,A,90,A,91,A,90,A,91,A,94,,,,,,,,,Not Earned,,,,,,,
11,3903,,LUFKIN ISD,,,REGION 07: KILGORE,ANGELINA,District,,No,No,"7,318",85.80%,20.50%,B,87,B,82,A,91,C,76,A,91,C,77,,,,,,,,,Earned,,,,,,,
12,3904,,HUNTINGTON ISD,,,REGION 07: KILGORE,ANGELINA,District,,No,No,"1,612",58.60%,1.20%,B,88,B,87,A,90,C,79,A,90,B,83,,,,,,,,,Not Earned,,,,,,,
13,3905,,DIBOLL ISD,,,REGION 07: KILGORE,ANGELINA,District,,No,No,"1,744",70.60%,15.40%,A,90,B,89,A,92,C,76,A,92,B,84,,,,,,,,,Not Earned,,,,,,,
14,3906,,ZAVALLA ISD,,,REGION 07: KILGORE,ANGELINA,District,,No,No,300,68.70%,0.00%,B,88,B,86,A,92,Not Rated: Senate Bill 1365,60,A,92,C,79,,,,,,,,,Not Earned,,,,,,,
15,3907,,CENTRAL ISD,,,REGION 07: KILGORE,ANGELINA,District,,No,No,"1,451",56.40%,5.00%,A,90,B,89,A,91,C,79,A,91,B,86,,,,,,,,,Not Earned,,,,,,,
16,4901,,ARANSAS COUNTY ISD,,,REGION 02: CORPUS CHRISTI,ARANSAS,District,,No,No,"3,005",66.90%,5.00%,B,84,B,81,B,89,B,80,B,89,C,72,,,,,,,,,Not Earned,,,,,,,
17,5901,,ARCHER CITY ISD,,,REGION 09: WICHITA FALLS,ARCHER,District,,No,No,506,41.10%,2.20%,A,91,A,92,A,90,A,90,A,90,B,88,,,,,,,,,Earned,,,,,,,
18,5902,,HOLLIDAY ISD,,,REGION 09: WICHITA FALLS,ARCHER,District,,No,No,"1,126",24.70%,0.50%,A,94,A,94,A,90,A,90,B,85,A,94,,,,,,,,,Not Earned,,,,,,,
19,5904,,WINDTHORST ISD,,,REGION 09: WICHITA FALLS,ARCHER,District,,No,No,530,30.00%,5.70%,A,95,A,93,A,91,A,91,B,84,A,100,,,,,,,,,Not Earned,,,,,,,
20,6902,,CLAUDE ISD,,,REGION 16: AMARILLO,ARMSTRONG,District,,No,No,307,36.20%,1.00%,A,94,A,91,B,85,B,85,B,81,A,100,,,,,,,,,,,,,,,,
21,7901,,CHARLOTTE ISD,,,REGION 20: SAN ANTONIO,ATASCOSA,District,,No,No,397,68.50%,6.50%,B,83,B,84,B,86,Not Rated: Senate Bill 1365,60,B,86,C,77,,,,,,,,,Not Earned,,,,,,,
22,7902,,JOURDANTON ISD,,,REGION 20: SAN ANTONIO,ATASCOSA,District,,No,No,"1,569",55.30%,3.10%,A,90,B,82,A,91,A,91,B,82,B,86,,,,,,,,,Not Earned,,,,,,,
23,7904,,LYTLE ISD,,,REGION 20: SAN ANTONIO,ATASCOSA,District,,No,No,"1,740",74.00%,14.70%,B,86,C,78,A,91,C,79,A,91,C,74,,,,,,,,,Not Earned,,,,,,,
24,7905,,PLEASANTON ISD,,,REGION 20: SAN ANTONIO,ATASCOSA,District,,No,No,"3,374",66.10%,5.20%,B,89,B,86,A,90,B,87,A,90,B,86,,,,,,,,,Not Earned,,,,,,,
25,7906,,POTEET ISD,,,REGION 20: SAN ANTONIO,ATASCOSA,District,,No,No,"1,676",71.70%,8.10%,C,72,C,72,C,76,C,76,C,72,Not Rated: Senate Bill 1365,63,,,,,,,,,Not Earned,,,,,,,
26,8901,,BELLVILLE ISD,,,REGION 06: HUNTSVILLE,AUSTIN,District,,No,No,"2,191",45.30%,9.70%,C,78,B,80,C,71,C,70,C,71,C,74,,,,,,,,,Not Earned,,,,,,,
27,8902,,SEALY ISD,,,REGION 06: HUNTSVILLE,AUSTIN,District,,No,No,"2,814",60.30%,16.90%,B,81,B,81,B,82,C,73,B,82,B,80,,,,,,,,,Not Earned,,,,,,,
