MLS Number,Street Number,Street Name,Street Suffix,City/Location,Zip Code,County,List Price,Subdivision,Market Area,School District,School Elementary,School Middle,School High,Building SqFt,Price Sq Ft List,Year Built,Bedrooms,Baths Full,Baths Half,Baths Total,Stories,DOM,CDOM
57364271,5912,Midgeley,Street,Houston,77091,Harris,"$350,000 ",Midgeley Villas,Northwest Houston,1 - Aldine,ANDERSON ACADEMY,DREW ACADEMY,CARVER H S FOR APPLIED TECH/ENGINEERING/ARTS,1885,$185.68 ,2023,3,2,1,2.1,2,5,77
83254373,5820,Francis Oak,Place,Houston,77091,Harris,"$354,900 ",Francis Landing,Northwest Houston,1 - Aldine,ANDERSON ACADEMY,DREW ACADEMY,CARVER H S FOR APPLIED TECH/ENGINEERING/ARTS,1842,$192.67 ,2023,3,2,1,2.1,2,1,235
42275865,5814,Cebra,Street,Houston,77091,Harris,"$354,900 ",Francis Landing,Northwest Houston,1 - Aldine,ANDERSON ACADEMY,DREW ACADEMY,CARVER H S FOR APPLIED TECH/ENGINEERING/ARTS,1842,$192.67 ,2023,3,2,1,2.1,2,1,131
49002633,5821,Francis Oak Pl,Place,Houston,77091,Harris,"$359,000 ",Francis Landing,Northwest Houston,1 - Aldine,ANDERSON ACADEMY,DREW ACADEMY,CARVER H S FOR APPLIED TECH/ENGINEERING/ARTS,1842,$194.90 ,2023,3,2,1,2.1,2,1,77
52891090,6410,Ezzard Charles,Lane,Houston,77091,Harris,"$359,900 ",International,Northwest Houston,1 - Aldine,ANDERSON ACADEMY,DREW ACADEMY,CARVER H S FOR APPLIED TECH/ENGINEERING/ARTS,2281,$157.78 ,2023,3,2,0,2,1,10,10
31333906,1105,Highland Square,Lane,Houston,77091,Harris,"$359,990 ",Highland Commons,Northwest Houston,1 - Aldine,ANDERSON ACADEMY,DREW ACADEMY,CARVER H S FOR APPLIED TECH/ENGINEERING/ARTS,1670,$215.56 ,2023,3,2,1,2.1,2,30,30
57477060,1213,Highland Square,Lane,Houston,77091,Harris,"$359,990 ",Highland Commons,Northwest Houston,1 - Aldine,ANDERSON ACADEMY,DREW ACADEMY,CARVER H S FOR APPLIED TECH/ENGINEERING/ARTS,1670,$215.56 ,2023,3,2,1,2.1,2,61,216
16607993,6613,Ezzard Charles,Lane,Houston,77091,Harris,"$369,900 ",CARVER ESTATES AT EZZARD CHARLES,Northwest Houston,1 - Aldine,ANDERSON ACADEMY,DREW ACADEMY,CARVER H S FOR APPLIED TECH/ENGINEERING/ARTS,2096,$176.48 ,2023,3,3,1,3.1,2,29,29
39066753,5816,Cebra,,Houston,77091,Harris,"$369,900 ",Francis Landing,Northwest Houston,1 - Aldine,ANDERSON ACADEMY,DREW ACADEMY,CARVER H S FOR APPLIED TECH/ENGINEERING/ARTS,1842,$200.81 ,2021,3,2,1,2.1,2,253,253
38950698,1210,Highland Square,Lane,Houston,77091,Harris,"$369,990 ",Highland Commons,Northwest Houston,1 - Aldine,ANDERSON ACADEMY,DREW ACADEMY,CARVER H S FOR APPLIED TECH/ENGINEERING/ARTS,1706,$216.88 ,2023,3,2,1,2.1,2,91,91
58400503,1104,Highland Square,Lane,Houston,77091,Harris,"$371,290 ",Highland Commons,Northwest Houston,1 - Aldine,ANDERSON ACADEMY,DREW ACADEMY,CARVER H S FOR APPLIED TECH/ENGINEERING/ARTS,1706,$217.64 ,2023,3,2,1,2.1,2,91,91
75952904,1106,Highland Square,Lane,Houston,77091,Harris,"$429,990 ",Highland Commons,Northwest Houston,1 - Aldine,ANDERSON ACADEMY,DREW ACADEMY,CARVER H S FOR APPLIED TECH/ENGINEERING/ARTS,2250,$191.11 ,2023,3,3,1,3.1,3,30,30
83023044,1212,Highland Square,Lane,Houston,77091,Harris,"$429,990 ",Highland Commons,Northwest Houston,1 - Aldine,ANDERSON ACADEMY,DREW ACADEMY,CARVER H S FOR APPLIED TECH/ENGINEERING/ARTS,2250,$191.11 ,2024,3,2,1,2.1,3,30,30
95626989,2038,Jadeite,Trace,Houston,77077,Harris,"$420,000 ",Ashford Manor,Energy Corridor,27 - Houston,ASHFORD/SHADOWBRIAR ELEMENTARY SCHOOL,WEST BRIAR MIDDLE SCHOOL,WESTSIDE HIGH SCHOOL,2464,$170.45 ,2019,5,3,1,3.1,3,115,115
31143045,12523,Holly Blue,Lane,Houston,77077,Harris,"$429,995 ",Ashford Manor,Energy Corridor,27 - Houston,ASHFORD/SHADOWBRIAR ELEMENTARY SCHOOL,WEST BRIAR MIDDLE SCHOOL,WESTSIDE HIGH SCHOOL,2256,$190.60 ,2019,4,3,1,3.1,2,8,8
33514652,2007,Tarfite,Place,Houston,77077,Harris,"$440,000 ",Ashford Manor,Energy Corridor,27 - Houston,ASHFORD/SHADOWBRIAR ELEMENTARY SCHOOL,WEST BRIAR MIDDLE SCHOOL,WESTSIDE HIGH SCHOOL,2347,$187.47 ,2019,4,3,1,3.1,3,26,26
59895895,1919,Bittercreek,Drive,Houston,77042,Harris,"$350,000 ",Executive Row Twnhses,Energy Corridor,27 - Houston,ASKEW ELEMENTARY SCHOOL,REVERE MIDDLE SCHOOL,WESTSIDE HIGH SCHOOL,1872,$186.97 ,2015,3,2,1,2.1,2,105,105
23309975,11111,Olympia,Drive,Houston,77042,Harris,"$439,000 ",LAKESIDE ESTATES,Energy Corridor,27 - Houston,ASKEW ELEMENTARY SCHOOL,REVERE MIDDLE SCHOOL,WESTSIDE HIGH SCHOOL,2250,$195.11 ,2023,3,3,1,3.1,3,147,147
95756842,11206,Mattina,Drive,Houston,77042,Harris,"$445,000 ",Torre Villas,Energy Corridor,27 - Houston,ASKEW ELEMENTARY SCHOOL,REVERE MIDDLE SCHOOL,WESTSIDE HIGH SCHOOL,2888,$154.09 ,2013,4,3,1,3.1,3,74,74
24102349,4512,Noble,Street,Houston,77020,Harris,"$359,000 ",Noble Ests,Denver Harbor,27 - Houston,ATHERTON ELEMENTARY SCHOOL (HOUSTON),FLEMING MIDDLE SCHOOL,WHEATLEY HIGH SCHOOL,1610,$222.98 ,2023,3,2,1,2.1,2,6,176
31582085,4311,Oats,Street,Houston,77020,Harris,"$359,900 ",Oats Street Place,Denver Harbor,27 - Houston,ATHERTON ELEMENTARY SCHOOL (HOUSTON),FLEMING MIDDLE SCHOOL,WHEATLEY HIGH SCHOOL,2076,$173.36 ,2023,3,3,1,3.1,3,59,158
97254179,2319,Harlem,Street,Houston,77020,Harris,"$359,990 ",Lyons Redev Twentyninth Venture,Denver Harbor,27 - Houston,ATHERTON ELEMENTARY SCHOOL (HOUSTON),MCREYNOLDS MIDDLE SCHOOL,WHEATLEY HIGH SCHOOL,1936,$185.95 ,2023,3,2,1,2.1,2,26,130
49003928,1409,Bayou,Street,Houston,77020,Harris,"$365,000 ",Sydnor,Denver Harbor,27 - Houston,ATHERTON ELEMENTARY SCHOOL (HOUSTON),FLEMING MIDDLE SCHOOL,WHEATLEY HIGH SCHOOL,1700,$214.71 ,2023,3,2,1,2.1,2,92,141
83716000,4306,New Orleans,Street,Houston,77020,Harris,"$365,500 ",Burke,Denver Harbor,27 - Houston,ATHERTON ELEMENTARY SCHOOL (HOUSTON),FLEMING MIDDLE SCHOOL,WHEATLEY HIGH SCHOOL,1714,$213.24 ,2023,3,2,1,2.1,2,62,259
32181786,4304,New Orleans,Street,Houston,77020,Harris,"$365,500 ",Burke,Denver Harbor,27 - Houston,ATHERTON ELEMENTARY SCHOOL (HOUSTON),FLEMING MIDDLE SCHOOL,WHEATLEY HIGH SCHOOL,1714,$213.24 ,2023,3,2,1,2.1,2,98,257
