,District Number,Zip Codes,District,Region,County,School Type,Alternative Education Accountability,Charter,Number of Students,% Economically Disadvantaged,% EB/EL Students,Overall Rating,Overall Score,Student Achievement Rating,Student Achievement Score,School Progress Rating,School Progress Score,Academic Growth Rating,Academic Growth Score,Relative Performance Rating,Relative Performance Score,Closing the Gaps Rating,Closing the Gaps Score
1,1902,,CAYUGA ISD,REGION 07: KILGORE,ANDERSON,District,No,No,574,40.80%,1.00%,A,94,A,95,A,93,B,84,A,93,A,93
2,1903,,ELKHART ISD,REGION 07: KILGORE,ANDERSON,District,No,No,"1,150",45.40%,2.80%,A,91,A,93,A,92,B,85,A,92,B,87
3,1904,,FRANKSTON ISD,REGION 07: KILGORE,ANDERSON,District,No,No,808,54.20%,4.10%,A,92,A,92,A,92,B,87,A,92,A,91
4,1906,,NECHES ISD,REGION 07: KILGORE,ANDERSON,District,No,No,342,54.10%,2.00%,A,97,A,95,A,94,A,92,A,94,A,100
5,1907,,PALESTINE ISD,REGION 07: KILGORE,ANDERSON,District,No,No,"3,360",81.60%,17.70%,B,89,B,88,A,92,B,87,A,92,B,83
6,1908,,WESTWOOD ISD,REGION 07: KILGORE,ANDERSON,District,No,No,"1,332",74.00%,7.10%,B,88,B,85,A,92,B,89,A,92,C,77
7,1909,,SLOCUM ISD,REGION 07: KILGORE,ANDERSON,District,No,No,361,46.80%,0.60%,B,89,A,92,A,91,B,89,A,91,B,83
8,2901,,ANDREWS ISD,REGION 18: MIDLAND,ANDREWS,District,No,No,"4,131",49.60%,14.20%,B,89,B,88,A,91,B,84,A,91,B,85
9,3801,,PINEYWOODS COMMUNITY ACADEMY,REGION 07: KILGORE,ANGELINA,District,No,Yes,995,57.80%,5.10%,A,92,A,93,A,93,A,90,A,93,B,89
10,3902,,HUDSON ISD,REGION 07: KILGORE,ANGELINA,District,No,No,"2,799",50.10%,6.90%,A,92,A,90,A,91,A,90,A,91,A,94
11,3903,,LUFKIN ISD,REGION 07: KILGORE,ANGELINA,District,No,No,"7,318",85.80%,20.50%,B,87,B,82,A,91,C,76,A,91,C,77
12,3904,,HUNTINGTON ISD,REGION 07: KILGORE,ANGELINA,District,No,No,"1,612",58.60%,1.20%,B,88,B,87,A,90,C,79,A,90,B,83
13,3905,,DIBOLL ISD,REGION 07: KILGORE,ANGELINA,District,No,No,"1,744",70.60%,15.40%,A,90,B,89,A,92,C,76,A,92,B,84
14,3906,,ZAVALLA ISD,REGION 07: KILGORE,ANGELINA,District,No,No,300,68.70%,0.00%,B,88,B,86,A,92,Not Rated: Senate Bill 1365,60,A,92,C,79
15,3907,,CENTRAL ISD,REGION 07: KILGORE,ANGELINA,District,No,No,"1,451",56.40%,5.00%,A,90,B,89,A,91,C,79,A,91,B,86
16,4901,,ARANSAS COUNTY ISD,REGION 02: CORPUS CHRISTI,ARANSAS,District,No,No,"3,005",66.90%,5.00%,B,84,B,81,B,89,B,80,B,89,C,72
17,5901,,ARCHER CITY ISD,REGION 09: WICHITA FALLS,ARCHER,District,No,No,506,41.10%,2.20%,A,91,A,92,A,90,A,90,A,90,B,88
18,5902,,HOLLIDAY ISD,REGION 09: WICHITA FALLS,ARCHER,District,No,No,"1,126",24.70%,0.50%,A,94,A,94,A,90,A,90,B,85,A,94
19,5904,,WINDTHORST ISD,REGION 09: WICHITA FALLS,ARCHER,District,No,No,530,30.00%,5.70%,A,95,A,93,A,91,A,91,B,84,A,100
20,6902,,CLAUDE ISD,REGION 16: AMARILLO,ARMSTRONG,District,No,No,307,36.20%,1.00%,A,94,A,91,B,85,B,85,B,81,A,100
21,7901,,CHARLOTTE ISD,REGION 20: SAN ANTONIO,ATASCOSA,District,No,No,397,68.50%,6.50%,B,83,B,84,B,86,Not Rated: Senate Bill 1365,60,B,86,C,77
22,7902,,JOURDANTON ISD,REGION 20: SAN ANTONIO,ATASCOSA,District,No,No,"1,569",55.30%,3.10%,A,90,B,82,A,91,A,91,B,82,B,86
23,7904,,LYTLE ISD,REGION 20: SAN ANTONIO,ATASCOSA,District,No,No,"1,740",74.00%,14.70%,B,86,C,78,A,91,C,79,A,91,C,74
24,7905,,PLEASANTON ISD,REGION 20: SAN ANTONIO,ATASCOSA,District,No,No,"3,374",66.10%,5.20%,B,89,B,86,A,90,B,87,A,90,B,86
25,7906,,POTEET ISD,REGION 20: SAN ANTONIO,ATASCOSA,District,No,No,"1,676",71.70%,8.10%,C,72,C,72,C,76,C,76,C,72,Not Rated: Senate Bill 1365,63
26,8901,,BELLVILLE ISD,REGION 06: HUNTSVILLE,AUSTIN,District,No,No,"2,191",45.30%,9.70%,C,78,B,80,C,71,C,70,C,71,C,74
27,8902,,SEALY ISD,REGION 06: HUNTSVILLE,AUSTIN,District,No,No,"2,814",60.30%,16.90%,B,81,B,81,B,82,C,73,B,82,B,80
28,8903,,BRAZOS ISD,REGION 06: HUNTSVILLE,AUSTIN,District,No,No,766,58.40%,16.80%,B,87,B,80,B,89,B,89,C,76,B,82
29,9901,,MULESHOE ISD,REGION 17: LUBBOCK,BAILEY,District,No,No,"1,347",87.60%,30.50%,A,90,B,89,A,94,C,73,A,94,B,80
30,10901,,MEDINA ISD,REGION 20: SAN ANTONIO,BANDERA,District,No,No,265,57.00%,1.50%,C,76,C,78,C,76,C,76,C,75,C,72
31,10902,,BANDERA ISD,REGION 20: SAN ANTONIO,BANDERA,District,No,No,"2,301",48.00%,5.30%,Not Rated: Senate Bill 1365,68,Not Rated: Senate Bill 1365,68,Not Rated: Senate Bill 1365,60,Not Rated: Senate Bill 1365,60,Not Rated: Senate Bill 1365,60,Not Rated: Senate Bill 1365,67
32,11901,,BASTROP ISD,REGION 13: AUSTIN,BASTROP,District,No,No,"11,947",70.20%,37.40%,C,75,C,73,C,79,C,79,C,75,Not Rated: Senate Bill 1365,67
33,11902,,ELGIN ISD,REGION 13: AUSTIN,BASTROP,District,No,No,"4,985",71.10%,41.30%,C,78,C,77,B,82,C,70,B,82,C,70
34,11904,,SMITHVILLE ISD,REGION 13: AUSTIN,BASTROP,District,No,No,"1,780",45.70%,8.30%,B,80,B,81,C,75,C,73,C,75,C,76
35,11905,,MCDADE ISD,REGION 13: AUSTIN,BASTROP,District,No,No,319,57.70%,23.80%,B,86,B,80,A,90,C,73,A,90,C,77
36,12901,,SEYMOUR ISD,REGION 09: WICHITA FALLS,BAYLOR,District,No,No,618,60.50%,0.60%,A,96,A,96,A,95,A,94,A,95,A,96
37,13801,,ST MARY'S ACADEMY CHARTER SCHOOL,REGION 02: CORPUS CHRISTI,BEE,District,No,Yes,401,83.50%,1.20%,B,81,C,74,B,82,C,79,B,82,C,78
38,13901,,BEEVILLE ISD,REGION 02: CORPUS CHRISTI,BEE,District,No,No,"2,996",83.90%,2.30%,B,87,B,83,A,91,C,73,A,91,C,76
39,13902,,PAWNEE ISD,REGION 02: CORPUS CHRISTI,BEE,District,No,No,498,88.00%,0.80%,B,87,C,74,A,91,A,91,B,82,C,78
40,13903,,PETTUS ISD,REGION 02: CORPUS CHRISTI,BEE,District,No,No,377,66.00%,0.50%,B,85,C,70,B,89,B,89,Not Rated: Senate Bill 1365,58,C,76
41,13905,,SKIDMORE-TYNAN ISD,REGION 02: CORPUS CHRISTI,BEE,District,No,No,785,60.10%,2.20%,A,93,A,92,A,94,A,93,A,94,A,90
42,14801,,RICHARD MILBURN ALTER HIGH SCHOOL - KILLEEN,REGION 20: SAN ANTONIO,BELL,District,Yes,Yes,"1,590",97.00%,9.30%,C,73,C,74,Not Rated: Senate Bill 1365,58,Not Rated: Senate Bill 1365,58,Not Rated,        .,Not Rated: Senate Bill 1365,62
43,14803,,PRIORITY CHARTER SCHOOLS,REGION 12: WACO,BELL,District,No,Yes,836,57.80%,6.10%,B,86,B,86,A,90,B,80,A,90,C,78
44,14804,,ORENDA CHARTER SCHOOL,REGION 12: WACO,BELL,District,No,Yes,"1,900",11.30%,2.60%,A,91,A,92,B,89,A,90,C,75,B,89
45,14901,,ACADEMY ISD,REGION 12: WACO,BELL,District,No,No,"1,749",36.40%,5.90%,B,84,B,82,B,87,B,87,C,74,C,76
